indexTime,phase,durationMs,filename,filePosition
1697456103,0,5015.0101,Gamma.dat,8908800
1697456108,0,5002.1668,Gamma.dat,9062400
1697456114,1,5002.6221,Gamma.dat,9216000
1697456119,1,5007.8618,Gamma.dat,9369600
1697456124,1,5001.5397,Gamma.dat,9523200
1697456129,1,5001.7036,Gamma.dat,9676800
1697456136,2,5008.3951,Gamma.dat,9830400
1697456141,2,5008.3847,Gamma.dat,9984000
1697456146,2,5001.5152,Gamma.dat,10137600
1697456151,2,5012.7532,Gamma.dat,10291200
1697456157,3,5009.0907,Gamma.dat,10444800
1697456162,3,5001.7645,Gamma.dat,10598400
1697456167,3,5002.5554,Gamma.dat,10752000
1697456172,3,5001.2027,Gamma.dat,10905600
1697456179,4,5002.2572,Gamma.dat,11059200
1697456184,4,5009.1719,Gamma.dat,11212800
1697456189,4,5000.9809,Gamma.dat,11366400
1697456194,4,5010.0262,Gamma.dat,11520000
1697456200,5,5009.568,Gamma.dat,11673600
1697456205,5,5006.7809,Gamma.dat,11827200
1697456210,5,5001.6229,Gamma.dat,11980800
1697456215,5,5001.0364,Gamma.dat,12134400
1697456221,6,5013.1568,Gamma.dat,12288000
1697456226,6,5001.6299,Gamma.dat,12441600
1697456232,6,5001.4535,Gamma.dat,12595200
1697456237,6,5001.7206,Gamma.dat,12748800
1697456242,6,5001.9241,Gamma.dat,12902400
1697456247,6,5000.2999,Gamma.dat,13056000
1697456252,6,5000.8166,Gamma.dat,13209600
1697456257,6,5002.378,Gamma.dat,13363200
1697456263,5,5000.5924,Gamma.dat,13516800
1697456268,5,5002.3267,Gamma.dat,13670400
1697456273,5,5008.7478,Gamma.dat,13824000
1697456278,5,5000.7225,Gamma.dat,13977600
1697456285,4,5001.4205,Gamma.dat,14131200
1697456290,4,5000.8517,Gamma.dat,14284800
1697456295,4,5015.7909,Gamma.dat,14438400
1697456300,4,5001.2407,Gamma.dat,14592000
1697456307,3,5001.6268,Gamma.dat,14745600
1697456312,3,4999.7494,Gamma.dat,14899200
1697456317,3,5000.7795,Gamma.dat,15052800
1697456322,3,5008.7927,Gamma.dat,15206400
1697456328,2,5010.667,Gamma.dat,15360000
1697456333,2,5001.4323,Gamma.dat,15513600
1697456338,2,5000.7418,Gamma.dat,15667200
1697456343,2,5016.1051,Gamma.dat,15820800
1697456350,1,5010.9795,Gamma.dat,15974400
1697456355,1,5001.3561,Gamma.dat,16128000
1697456360,1,5001.5487,Gamma.dat,16281600
1697456365,1,5001.1343,Gamma.dat,16435200
1697456371,0,5001.5006,Gamma.dat,16588800
1697456376,0,5001.0099,Gamma.dat,16742400
1697456381,0,5001.5972,Gamma.dat,16896000
1697456386,0,5010.7471,Gamma.dat,17049600
1697456391,0,5013.0027,Gamma.dat,17203200
1697456396,0,5001.4815,Gamma.dat,17356800
1697456402,0,5011.1607,Gamma.dat,17510400
1697456407,0,5011.3541,Gamma.dat,17664000
1697456413,1,5001.3664,Gamma.dat,17817600
1697456418,1,5005.8342,Gamma.dat,17971200
1697456423,1,5002.2565,Gamma.dat,18124800
1697456428,1,5002.5842,Gamma.dat,18278400
1697456434,2,5001.8987,Gamma.dat,18432000
1697456439,2,5001.1116,Gamma.dat,18585600
1697456444,2,5002.211,Gamma.dat,18739200
1697456449,2,5010.9993,Gamma.dat,18892800
1697456456,3,5000.9657,Gamma.dat,19046400
1697456461,3,5002.2265,Gamma.dat,19200000
1697456466,3,5011.6967,Gamma.dat,19353600
1697456471,3,5007.0603,Gamma.dat,19507200
1697456477,4,5014.2792,Gamma.dat,19660800
1697456482,4,5001.5978,Gamma.dat,19814400
1697456487,4,5011.3013,Gamma.dat,19968000
1697456492,4,5002.1796,Gamma.dat,20121600
1697456499,5,5001.5859,Gamma.dat,20275200
1697456504,5,5001.2015,Gamma.dat,20428800
1697456509,5,5001.4897,Gamma.dat,20582400
